species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Lutjanus bohar,0.688484857,0.309105551,-0.764827616,3.040305131,1,M1,0.178185869,0.081484757,0.348773662,omega3
Lutjanus gibbus,0.488484857,-0.278681114,0.715777462,-2.473267869,1,M1,0.134896866,0.060286721,0.234517303,omega3
Scarus caudofasciatus,-1.559372286,-0.278681114,1.32999133,-1.202340869,1,M1,0.091023261,0.044673796,0.159378396,omega3
Scarus frenatus,-1.611515143,-0.340556518,1.537757499,-1.202340869,1,M1,0.086102245,0.03530147,0.153163006,omega3
Scarus niger,-1.611515143,-0.501824665,1.325543018,-1.202340869,1,M1,0.095567284,0.047397216,0.166579772,omega3
Scarus prasiognathos,-1.559372286,0.057791123,1.32999133,-1.202340869,1,M1,0.084428243,0.039343733,0.145307238,omega3
Scarus scaber,-1.611515143,-0.579786207,1.4457386,-1.202340869,1,M1,0.093400194,0.043320971,0.165707621,omega3
Scarus tricolor,-1.611515143,-0.909792904,1.32999133,-1.202340869,1,M1,0.104152209,0.050938951,0.18357112,omega3
Siganus stellatus,-0.911515143,-0.501824665,1.820827303,-2.702340869,1,M1,0.088163363,0.035347127,0.169316875,omega3
Thalassoma hebraicum,-0.111515143,-1.055209904,1.498536786,-3.202340869,1,M1,0.118579849,0.04734057,0.219132153,omega3
Leptoscarus vaigiensis,-1.311515143,-0.635356058,0.877045592,-2.702340869,1,M1,0.117339342,0.058772171,0.211539014,omega3
Parupeneus barberinus,-0.211515143,-0.096359557,0.140413275,-0.930709869,1,M1,0.141571464,0.094821128,0.222030913,omega3
Parupeneus macronemus,-0.111515143,-0.501824665,2.037533287,-2.718055155,1,M1,0.088526915,0.029221657,0.170409072,omega3
Scarus ghobban,-1.611515143,0.309105551,0.492633895,-2.202340869,1,M1,0.104162209,0.056639167,0.193734889,omega3
Scarus rubroviolaceus,-1.611515143,0.057791123,-0.139888663,-0.302340869,1,M1,0.130925804,0.073588894,0.2270526,omega3
Siganus argenteus,-0.981515029,-0.501824665,0.938920998,-2.702340869,1,M1,0.11573431,0.055942411,0.205275036,omega3
Lethrinus nebulosus,0.188484857,0.275203999,-0.028663039,-0.764065869,1,M1,0.142582172,0.093851735,0.22964923,omega3
Acanthurus lineatus,-0.766060598,-0.55311796,1.275393217,-3.133353869,1,M1,0.107700326,0.048583479,0.198313151,omega3
Acanthurus tennentii,-1.611515143,-0.756716915,1.318222236,-1.535674203,1,M1,0.101505229,0.052623452,0.183961944,omega3
Siganus sutor,-1.611515143,-0.38404163,1.362226024,-2.702340869,1,M1,0.093491932,0.041515559,0.169792065,omega3
Cheilinus fasciatus,-0.241515143,-0.501824665,1.034231178,-1.022795415,1,M1,0.117318432,0.067254278,0.189227202,omega3
Lethrinus mahsena,-0.211515143,-0.01631685,-0.670516905,2.274714131,1,M1,0.172286391,0.071709535,0.307558684,omega3
Epinephelus merra,0.768484857,-0.756716915,0.715777447,-0.335674202,1,M1,0.147279718,0.087037237,0.232464238,omega3
Naso elegans,-1.611515143,-0.38404163,0.635380509,1.297659131,1,M1,0.112143824,0.048115965,0.201371907,omega3
Scarus falcipinnis,-1.611515143,-0.096359557,1.32999133,-1.202340869,1,M1,0.087354423,0.039887098,0.151147151,omega3
Scarus globiceps,-1.611515143,-0.894867253,1.32999133,-1.202340869,1,M1,0.103868771,0.050875574,0.183054512,omega3
Lethrinus lentjan,0.288484857,-0.239460401,1.261004494,-3.162694869,1,M1,0.111319733,0.046992255,0.209037488,omega3
Acanthurus triostegus,-0.811515143,-0.894867253,1.632068178,-3.427828969,1,M1,0.102928232,0.045535998,0.203308152,omega3
Cephalopholis miniata,0.688484857,-0.278681114,-0.575206735,1.897659131,1,M1,0.1942046,0.103782042,0.347329543,omega3
Cephalopholis urodeta,0.408484857,-0.858499609,1.961371926,-1.002340869,1,M1,0.099715981,0.037829616,0.181543763,omega3
Epinephelus coeruleopunctatus,0.558484857,0.140029221,0.080185888,-0.335674202,1,M1,0.146164944,0.096017288,0.230275547,omega3
Scarus viridifucatus,-1.611515143,-0.38404163,1.32999133,-1.202340869,1,M1,0.092846066,0.044825865,0.161441794,omega3
Epinephelus hexagonatus,0.438484857,-0.876518115,1.537757499,-0.335674202,1,M1,0.113404936,0.052513984,0.200291242,omega3
Lethrinus olivaceus,0.388484857,0.414466066,0.245773817,-1.654558869,1,M1,0.130871036,0.074744797,0.218985467,omega3
Lutjanus kasmira,0.288484857,-0.501824665,0.08089916,-0.895070869,1,M1,0.165217308,0.101419663,0.261591199,omega3
Lethrinus enigmaticus,0.218484781,-0.183370934,-0.271740795,0.116409131,1,M1,0.16918901,0.113406208,0.275260682,omega3
