species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Lethrinus mahsena,-0.200869558,-0.006561707,-0.648931755,2.183145343,0,M1,36.48160086,13.04342783,72.428812,Ca
Epinephelus merra,0.779130442,-0.746961772,0.737362596,-0.427242991,0,M1,39.12787174,22.94679961,64.44391626,Ca
Naso elegans,-1.600869558,-0.374286487,0.656965659,1.206090343,0,M1,46.04072511,12.77611239,106.9510804,Ca
Scarus falcipinnis,-1.600869558,-0.086604414,1.351576479,-1.293909657,0,M1,44.24402512,14.07987353,88.03614909,Ca
Scarus globiceps,-1.600869558,-0.885112111,1.351576479,-1.293909657,0,M1,62.95145084,17.96511172,127.6379744,Ca
Lethrinus lentjan,0.299130442,-0.229705258,1.282589644,-3.254263657,0,M1,39.98907828,13.93023104,80.98784335,Ca
Acanthurus triostegus,-0.800869558,-0.885112111,1.653653328,-3.519397757,0,M1,62.54346764,21.14981859,146.1388249,Ca
Cephalopholis miniata,0.699130442,-0.268925971,-0.553621585,1.806090343,0,M1,34.7504422,14.60628408,62.2330371,Ca
Cephalopholis urodeta,0.419130442,-0.848744466,1.982957075,-1.093909657,0,M1,35.22653408,7.088580532,70.09008924,Ca
Epinephelus coeruleopunctatus,0.569130442,0.149784364,0.101771037,-0.427242991,0,M1,31.65632703,18.34058234,45.36225781,Ca
Scarus viridifucatus,-1.600869558,-0.374286487,1.351576479,-1.293909657,0,M1,50.28882368,15.82021931,99.83827807,Ca
Epinephelus hexagonatus,0.449130442,-0.866762972,1.559342648,-0.427242991,0,M1,36.25942479,12.66459954,67.04020182,Ca
Lethrinus olivaceus,0.399130442,0.424221209,0.267358967,-1.746127657,0,M1,31.61247825,16.08441522,51.66794508,Ca
Lutjanus kasmira,0.299130442,-0.492069523,0.102484309,-0.986639657,0,M1,47.4089371,26.6084019,78.5304644,Ca
Lethrinus enigmaticus,0.229130366,-0.173615791,-0.250155645,0.024840343,0,M1,40.81087772,24.84860728,64.03816608,Ca
Lethrinus rubrioperculatus,0.199130442,-0.268925971,0.139525591,-1.048335657,0,M1,43.32253625,24.59646899,66.21660768,Ca
Diagramma pictum,0.099130442,0.424221209,0.243066286,-1.564780657,0,M1,33.16393839,17.62487338,51.14615033,Ca
Acanthurus leucosternon,-1.600869558,-0.19196493,1.916017592,-1.627242991,1,M1,42.19100823,6.793508267,95.95976108,Ca
Acanthurus nigrofuscus,-1.600869558,-1.136426539,1.217471247,-2.293909657,1,M1,80.5754317,24.85459956,190.2316651,Ca
Aprion virescens,0.699130442,0.537549895,-0.312459521,-0.007013657,1,M1,22.42380977,8.064543717,38.2222796,Ca
Cephalopholis argus,0.559130442,-0.086604414,0.826359181,-1.093909657,1,M1,31.65208207,18.74605207,50.33865125,Ca
Cephalopholis leopardus,0.409130442,-1.002895146,0.826359181,-1.093909657,1,M1,48.95733213,25.89703592,84.8856093,Ca
Lethrinus harak,-0.000869558,-0.268925971,0.877124556,-2.774136657,1,M1,44.55379653,21.21967766,84.53121245,Ca
Lutjanus bohar,0.699130442,0.318860694,-0.743242467,2.948736343,1,M1,24.96270954,7.740810121,53.9025027,Ca
Lutjanus gibbus,0.499130442,-0.268925971,0.737362611,-2.564836657,1,M1,40.49086816,18.68162476,77.81786683,Ca
Scarus caudofasciatus,-1.548726701,-0.268925971,1.351576479,-1.293909657,1,M1,47.37353877,15.29407275,95.14076192,Ca
Scarus frenatus,-1.600869558,-0.330801375,1.559342648,-1.293909657,1,M1,47.22767452,13.42098382,98.67023928,Ca
Scarus niger,-1.600869558,-0.492069523,1.347128168,-1.293909657,1,M1,52.96779507,20.0154201,107.5431836,Ca
Scarus prasiognathos,-1.548726701,0.067546265,1.351576479,-1.293909657,1,M1,40.81812747,12.54202517,82.5208397,Ca
Scarus scaber,-1.600869558,-0.570031064,1.46732375,-1.293909657,1,M1,53.37992145,16.90036697,111.3583305,Ca
Scarus tricolor,-1.600869558,-0.900037761,1.351576479,-1.293909657,1,M1,63.22860883,15.43566464,130.276243,Ca
Siganus stellatus,-0.900869558,-0.492069523,1.842412452,-2.793909657,1,M1,47.51572874,13.89644795,96.25497905,Ca
Thalassoma hebraicum,-0.100869558,-1.045454761,1.520121935,-3.293909657,1,M1,58.38345226,20.78871453,135.9694801,Ca
Leptoscarus vaigiensis,-1.300869558,-0.625600915,0.898630741,-2.793909657,1,M1,67.84633544,20.00548064,142.7045395,Ca
Parupeneus barberinus,-0.200869558,-0.086604414,0.161998424,-1.022278657,1,M1,42.60174182,26.63800088,65.89101364,Ca
Parupeneus macronemus,-0.100869558,-0.492069523,2.059118436,-2.809623943,1,M1,38.11317157,10.9562528,79.53546017,Ca
Scarus ghobban,-1.600869558,0.318860694,0.514219045,-2.293909657,1,M1,49.45664966,17.52191753,96.52341978,Ca
Scarus rubroviolaceus,-1.600869558,0.067546265,-0.118303514,-0.393909657,1,M1,53.33617706,19.52085598,102.7225697,Ca
Siganus argenteus,-0.970869444,-0.492069523,0.960506147,-2.793909657,1,M1,59.09369817,19.99422233,116.8600497,Ca
Lethrinus nebulosus,0.199130442,0.284959142,-0.00707789,-0.855634657,1,M1,34.12018675,21.6559221,52.7609281,Ca
Acanthurus lineatus,-0.755415013,-0.543362817,1.296978367,-3.224922657,1,M1,56.01038159,20.48801643,119.0145425,Ca
Acanthurus tennentii,-1.600869558,-0.746961772,1.339807386,-1.627242991,1,M1,60.83653152,20.80000307,127.4814983,Ca
Siganus sutor,-1.600869558,-0.374286487,1.383811174,-2.793909657,1,M1,57.77787488,19.35525361,124.5224361,Ca
Cheilinus fasciatus,-0.230869558,-0.492069523,1.055816327,-1.114364203,1,M1,42.13005101,22.56505581,66.3736078,Ca
Lethrinus mahsena,-0.200869558,-0.006561707,-0.648931755,2.183145343,1,M1,37.00862329,13.85891861,70.76060755,Ca
Epinephelus merra,0.779130442,-0.746961772,0.737362596,-0.427242991,1,M1,38.47793594,21.28141975,63.40006308,Ca
Naso elegans,-1.600869558,-0.374286487,0.656965659,1.206090343,1,M1,46.86684356,10.05137892,104.4120179,Ca
Scarus falcipinnis,-1.600869558,-0.086604414,1.351576479,-1.293909657,1,M1,44.2920446,13.60446571,89.25423809,Ca
Scarus globiceps,-1.600869558,-0.885112111,1.351576479,-1.293909657,1,M1,62.69852968,20.160475,133.9818977,Ca
Lethrinus lentjan,0.299130442,-0.229705258,1.282589644,-3.254263657,1,M1,39.45342796,14.86698567,81.91189903,Ca
Acanthurus triostegus,-0.800869558,-0.885112111,1.653653328,-3.519397757,1,M1,63.30378496,19.89285743,149.2151294,Ca
Cephalopholis miniata,0.699130442,-0.268925971,-0.553621585,1.806090343,1,M1,34.49497274,15.88117537,62.30302512,Ca
Cephalopholis urodeta,0.419130442,-0.848744466,1.982957075,-1.093909657,1,M1,34.81665639,6.775530264,72.2458234,Ca
Epinephelus coeruleopunctatus,0.569130442,0.149784364,0.101771037,-0.427242991,1,M1,31.40749808,20.18484215,48.44396917,Ca
Scarus viridifucatus,-1.600869558,-0.374286487,1.351576479,-1.293909657,1,M1,50.12534645,16.1965647,100.4889579,Ca
Epinephelus hexagonatus,0.449130442,-0.866762972,1.559342648,-0.427242991,1,M1,35.75400255,13.38581615,70.00546159,Ca
Lethrinus olivaceus,0.399130442,0.424221209,0.267358967,-1.746127657,1,M1,31.55390923,15.7518235,52.41020417,Ca
Lutjanus kasmira,0.299130442,-0.492069523,0.102484309,-0.986639657,1,M1,46.83030044,26.64395877,77.1051181,Ca
Lethrinus enigmaticus,0.229130366,-0.173615791,-0.250155645,0.024840343,1,M1,40.46475011,23.98870366,62.05419232,Ca
Lethrinus rubrioperculatus,0.199130442,-0.268925971,0.139525591,-1.048335657,1,M1,42.80610742,26.45544481,68.02902915,Ca
Diagramma pictum,0.099130442,0.424221209,0.243066286,-1.564780657,1,M1,32.98568507,17.11196916,51.2018003,Ca
Acanthurus leucosternon,-1.815523805,-0.166094692,1.589851523,-1.163640575,0,M1,0.659656481,0.388833329,1.077536676,Fe
Acanthurus nigrofuscus,-1.815523805,-1.110556301,0.891305178,-1.830307242,0,M1,0.633195211,0.375689273,0.93703879,Fe
Aprion virescens,0.484476195,0.563420133,-0.63862559,0.456588758,0,M1,0.585755471,0.366724899,0.779579075,Fe
Cephalopholis argus,0.344476195,-0.060734177,0.500193112,-0.630307242,0,M1,0.518309248,0.377320563,0.685950592,Fe
Cephalopholis leopardus,0.194476195,-0.977024908,0.500193112,-0.630307242,0,M1,0.497812775,0.342144972,0.670690097,Fe
Lethrinus harak,-0.215523805,-0.243055733,0.550958487,-2.310534242,0,M1,0.531521914,0.361103022,0.738528836,Fe
Lutjanus bohar,0.484476195,0.344730932,-1.069408535,3.412338758,0,M1,0.631436954,0.342345407,1.001317911,Fe
Lutjanus gibbus,0.284476195,-0.243055733,0.411196542,-2.101234242,0,M1,0.498227632,0.335400019,0.704844545,Fe
Scarus caudofasciatus,-1.763380948,-0.243055733,1.02541041,-0.830307242,0,M1,0.674018742,0.397653604,0.970624532,Fe
Scarus frenatus,-1.815523805,-0.304931137,1.23317658,-0.830307242,0,M1,0.668951322,0.406330977,1.03305199,Fe
Scarus niger,-1.815523805,-0.466199285,1.020962099,-0.830307242,0,M1,0.670931175,0.406390262,0.985676471,Fe
Scarus prasiognathos,-1.763380948,0.093416503,1.02541041,-0.830307242,0,M1,0.690887813,0.428981301,1.015980912,Fe
Scarus scaber,-1.815523805,-0.544160826,1.141157681,-0.830307242,0,M1,0.6633654,0.385222332,0.988258534,Fe
Scarus tricolor,-1.815523805,-0.874167523,1.02541041,-0.830307242,0,M1,0.651733604,0.385920861,0.969776876,Fe
Siganus stellatus,-1.115523805,-0.466199285,1.516246383,-2.330307242,0,M1,0.572488127,0.337189137,0.876456747,Fe
Thalassoma hebraicum,-0.315523805,-1.019584523,1.193955866,-2.830307242,0,M1,0.495929905,0.269755439,0.737258101,Fe
Leptoscarus vaigiensis,-1.515523805,-0.599730677,0.572464673,-2.330307242,0,M1,0.625035963,0.400494315,0.923392814,Fe
Parupeneus barberinus,-0.415523805,-0.060734177,-0.164167644,-0.558676242,0,M1,0.60315261,0.45551718,0.754753247,Fe
Parupeneus macronemus,-0.315523805,-0.466199285,1.732952367,-2.346021527,0,M1,0.503460001,0.273719445,0.78923654,Fe
Scarus ghobban,-1.815523805,0.344730932,0.188052976,-1.830307242,0,M1,0.715928739,0.468730721,1.008484789,Fe
Scarus rubroviolaceus,-1.815523805,0.093416503,-0.444469583,0.069692758,0,M1,0.773138875,0.48921394,1.078710678,Fe
Siganus argenteus,-1.185523691,-0.466199285,0.634340078,-2.330307242,0,M1,0.600901305,0.41068114,0.888941367,Fe
Lethrinus nebulosus,-0.015523805,0.31082938,-0.333243958,-0.392032242,0,M1,0.591105802,0.432967143,0.742632999,Fe
Acanthurus lineatus,-0.97006926,-0.517492579,0.970812298,-2.761320242,0,M1,0.563510775,0.342396752,0.826723337,Fe
Acanthurus tennentii,-1.815523805,-0.721091534,1.013641317,-1.163640575,0,M1,0.654576928,0.390181805,0.953470477,Fe
Siganus sutor,-1.815523805,-0.348416249,1.057645105,-2.330307242,0,M1,0.649596056,0.394666858,0.97182378,Fe
Cheilinus fasciatus,-0.445523805,-0.466199285,0.729650258,-0.650761787,0,M1,0.561593647,0.408301411,0.751681993,Fe
Lethrinus mahsena,-0.415523805,0.019308531,-0.975097824,2.646747758,0,M1,0.688688509,0.412815336,1.04134594,Fe
Epinephelus merra,0.564476195,-0.721091534,0.411196527,0.036359425,0,M1,0.489742952,0.351100896,0.668451303,Fe
Naso elegans,-1.815523805,-0.348416249,0.33079959,1.669692758,0,M1,0.744735407,0.424724297,1.174274246,Fe
Scarus falcipinnis,-1.815523805,-0.060734177,1.02541041,-0.830307242,0,M1,0.689961365,0.423575824,1.019878243,Fe
Scarus globiceps,-1.815523805,-0.859241873,1.02541041,-0.830307242,0,M1,0.652269901,0.38752967,0.971757187,Fe
Lethrinus lentjan,0.084476195,-0.20383502,0.956423575,-2.790661242,0,M1,0.492717646,0.293069668,0.720831634,Fe
Acanthurus triostegus,-1.015523805,-0.859241873,1.327487259,-3.055795342,0,M1,0.542673698,0.286778844,0.826722701,Fe
Cephalopholis miniata,0.484476195,-0.243055733,-0.879787654,2.269692758,0,M1,0.584574348,0.373896936,0.868076422,Fe
Cephalopholis urodeta,0.204476195,-0.822874229,1.656791006,-0.630307242,0,M1,0.479790721,0.265846009,0.7547896,Fe
Epinephelus coeruleopunctatus,0.354476195,0.175654602,-0.224395032,0.036359425,0,M1,0.556360824,0.412434591,0.713324648,Fe
Scarus viridifucatus,-1.815523805,-0.348416249,1.02541041,-0.830307242,0,M1,0.674703818,0.421610787,1.002851276,Fe
Epinephelus hexagonatus,0.234476195,-0.840892734,1.23317658,0.036359425,0,M1,0.491628485,0.310935881,0.736620129,Fe
Lethrinus olivaceus,0.184476195,0.450091447,-0.058807102,-1.282525242,0,M1,0.55546386,0.412315261,0.747418787,Fe
Lutjanus kasmira,0.084476195,-0.466199285,-0.223681759,-0.523037242,0,M1,0.547247853,0.412087933,0.723742378,Fe
Lethrinus enigmaticus,0.014476119,-0.147745554,-0.576321714,0.488442758,0,M1,0.591374409,0.427624618,0.766073578,Fe
Lethrinus rubrioperculatus,-0.015523805,-0.243055733,-0.186640478,-0.584733242,0,M1,0.560324092,0.431936904,0.727993857,Fe
Diagramma pictum,-0.115523805,0.450091447,-0.083099782,-1.101178242,0,M1,0.584293293,0.431702982,0.750253705,Fe
Acanthurus leucosternon,-1.815523805,-0.166094692,1.589851523,-1.163640575,1,M1,0.923117218,0.464159931,1.494316935,Fe
Acanthurus nigrofuscus,-1.815523805,-1.110556301,0.891305178,-1.830307242,1,M1,0.887870152,0.47796318,1.393698317,Fe
Aprion virescens,0.484476195,0.563420133,-0.63862559,0.456588758,1,M1,0.821841513,0.517927462,1.107243736,Fe
Cephalopholis argus,0.344476195,-0.060734177,0.500193112,-0.630307242,1,M1,0.723919981,0.490293165,0.969323407,Fe
Cephalopholis leopardus,0.194476195,-0.977024908,0.500193112,-0.630307242,1,M1,0.701556252,0.479359735,0.978953408,Fe
Lethrinus harak,-0.215523805,-0.243055733,0.550958487,-2.310534242,1,M1,0.741349294,0.467099674,1.060890984,Fe
Lutjanus bohar,0.484476195,0.344730932,-1.069408535,3.412338758,1,M1,0.879959423,0.502990859,1.342552251,Fe
Lutjanus gibbus,0.284476195,-0.243055733,0.411196542,-2.101234242,1,M1,0.700534804,0.421196264,0.988714694,Fe
Scarus caudofasciatus,-1.763380948,-0.243055733,1.02541041,-0.830307242,1,M1,0.943871415,0.552590459,1.441119515,Fe
Scarus frenatus,-1.815523805,-0.304931137,1.23317658,-0.830307242,1,M1,0.939805452,0.553505886,1.498788132,Fe
Scarus niger,-1.815523805,-0.466199285,1.020962099,-0.830307242,1,M1,0.940135126,0.550002225,1.45291097,Fe
Scarus prasiognathos,-1.763380948,0.093416503,1.02541041,-0.830307242,1,M1,0.966849202,0.514411938,1.431301523,Fe
Scarus scaber,-1.815523805,-0.544160826,1.141157681,-0.830307242,1,M1,0.926940184,0.527741153,1.454106549,Fe
Scarus tricolor,-1.815523805,-0.874167523,1.02541041,-0.830307242,1,M1,0.913248888,0.513392228,1.419498502,Fe
Siganus stellatus,-1.115523805,-0.466199285,1.516246383,-2.330307242,1,M1,0.800666323,0.459465452,1.303725628,Fe
Thalassoma hebraicum,-0.315523805,-1.019584523,1.193955866,-2.830307242,1,M1,0.693510892,0.366200697,1.075745329,Fe
Leptoscarus vaigiensis,-1.515523805,-0.599730677,0.572464673,-2.330307242,1,M1,0.881427025,0.539191664,1.333966506,Fe
Parupeneus barberinus,-0.415523805,-0.060734177,-0.164167644,-0.558676242,1,M1,0.843041569,0.608632017,1.074792269,Fe
Parupeneus macronemus,-0.315523805,-0.466199285,1.732952367,-2.346021527,1,M1,0.703796842,0.379704945,1.16199903,Fe
Scarus ghobban,-1.815523805,0.344730932,0.188052976,-1.830307242,1,M1,1.006512454,0.589660597,1.435538525,Fe
Scarus rubroviolaceus,-1.815523805,0.093416503,-0.444469583,0.069692758,1,M1,1.069354811,0.66289433,1.540646548,Fe
Siganus argenteus,-1.185523691,-0.466199285,0.634340078,-2.330307242,1,M1,0.841730135,0.470876817,1.1971759,Fe
Lethrinus nebulosus,-0.015523805,0.31082938,-0.333243958,-0.392032242,1,M1,0.825289584,0.607046667,1.046637447,Fe
Acanthurus lineatus,-0.97006926,-0.517492579,0.970812298,-2.761320242,1,M1,0.793145729,0.464438706,1.213396282,Fe
Acanthurus tennentii,-1.815523805,-0.721091534,1.013641317,-1.163640575,1,M1,0.917840531,0.519987588,1.431260773,Fe
Siganus sutor,-1.815523805,-0.348416249,1.057645105,-2.330307242,1,M1,0.911701079,0.507542782,1.413935289,Fe
Cheilinus fasciatus,-0.445523805,-0.466199285,0.729650258,-0.650761787,1,M1,0.78820437,0.514486247,1.063707883,Fe
Lethrinus mahsena,-0.415523805,0.019308531,-0.975097824,2.646747758,1,M1,0.963608743,0.600159887,1.412041431,Fe
Epinephelus merra,0.564476195,-0.721091534,0.411196527,0.036359425,1,M1,0.694159865,0.470671209,0.928304395,Fe
Naso elegans,-1.815523805,-0.348416249,0.33079959,1.669692758,1,M1,1.044784261,0.549022092,1.666438238,Fe
Scarus falcipinnis,-1.815523805,-0.060734177,1.02541041,-0.830307242,1,M1,0.964987816,0.561763074,1.483596094,Fe
Scarus globiceps,-1.815523805,-0.859241873,1.02541041,-0.830307242,1,M1,0.914146839,0.515021617,1.420008339,Fe
Lethrinus lentjan,0.084476195,-0.20383502,0.956423575,-2.790661242,1,M1,0.690155536,0.405806801,1.062304641,Fe
Acanthurus triostegus,-1.015523805,-0.859241873,1.327487259,-3.055795342,1,M1,0.770844072,0.357204815,1.183188125,Fe
Cephalopholis miniata,0.484476195,-0.243055733,-0.879787654,2.269692758,1,M1,0.819075325,0.551298983,1.176566523,Fe
Cephalopholis urodeta,0.204476195,-0.822874229,1.656791006,-0.630307242,1,M1,0.670305546,0.369369343,1.070448214,Fe
Epinephelus coeruleopunctatus,0.354476195,0.175654602,-0.224395032,0.036359425,1,M1,0.780577407,0.557374573,0.966523242,Fe
Scarus viridifucatus,-1.815523805,-0.348416249,1.02541041,-0.830307242,1,M1,0.946716228,0.55033543,1.45564689,Fe
Epinephelus hexagonatus,0.234476195,-0.840892734,1.23317658,0.036359425,1,M1,0.69522416,0.41927145,1.045675681,Fe
Lethrinus olivaceus,0.184476195,0.450091447,-0.058807102,-1.282525242,1,M1,0.778945302,0.534466707,1.02581121,Fe
Lutjanus kasmira,0.084476195,-0.466199285,-0.223681759,-0.523037242,1,M1,0.770575797,0.549797137,0.999662099,Fe
Lethrinus enigmaticus,0.014476119,-0.147745554,-0.576321714,0.488442758,1,M1,0.831548483,0.605392678,1.079196284,Fe
Lethrinus rubrioperculatus,-0.015523805,-0.243055733,-0.186640478,-0.584733242,1,M1,0.789926607,0.570014511,1.019826386,Fe
Diagramma pictum,-0.115523805,0.450091447,-0.083099782,-1.101178242,1,M1,0.818457051,0.580805755,1.06871598,Fe
Acanthurus leucosternon,-1.817475724,-0.15269014,1.575401169,-1.17949189,0,M1,20.82392686,3.622836963,57.51088025,Se
Acanthurus nigrofuscus,-1.817475724,-1.097151748,0.876854824,-1.846158557,0,M1,24.0520034,5.787365018,55.01566259,Se
Aprion virescens,0.482524276,0.576824685,-0.653075944,0.440737443,0,M1,30.82324012,13.19494787,60.96947954,Se
Cephalopholis argus,0.342524276,-0.047329624,0.485742758,-0.646158557,0,M1,27.39704156,10.64278697,39.9401138,Se
Cephalopholis leopardus,0.192524276,-0.963620356,0.485742758,-0.646158557,0,M1,28.48580029,9.970775461,47.90379279,Se
Lethrinus harak,-0.217475724,-0.229651181,0.536508133,-2.326385557,0,M1,25.09167327,6.795133823,42.44044805,Se
Lutjanus bohar,0.482524276,0.358135484,-1.083858889,3.396487443,0,M1,39.30178484,9.01616635,90.69346236,Se
Lutjanus gibbus,0.282524276,-0.229651181,0.396746188,-2.117085557,0,M1,26.06629863,5.16547816,45.49294327,Se
Scarus caudofasciatus,-1.765332867,-0.229651181,1.010960056,-0.846158557,0,M1,22.99720425,6.153580743,53.01001249,Se
Scarus frenatus,-1.817475724,-0.291526584,1.218726225,-0.846158557,0,M1,22.47926775,4.542311068,55.26048422,Se
Scarus niger,-1.817475724,-0.452794732,1.006511745,-0.846158557,0,M1,23.46117829,7.434388253,55.79719836,Se
Scarus prasiognathos,-1.765332867,0.106821056,1.010960056,-0.846158557,0,M1,22.65525758,6.593246099,54.74917051,Se
Scarus scaber,-1.817475724,-0.530756273,1.126707327,-0.846158557,0,M1,23.31317886,5.036594394,55.15235241,Se
Scarus tricolor,-1.817475724,-0.86076297,1.010960056,-0.846158557,0,M1,24.35141562,5.101188826,55.50043205,Se
Siganus stellatus,-1.117475724,-0.452794732,1.501796029,-2.346158557,0,M1,21.56532421,5.115942904,43.14689496,Se
Thalassoma hebraicum,-0.317475724,-1.00617997,1.179505512,-2.846158557,0,M1,23.62003137,4.793410583,49.01862369,Se
Leptoscarus vaigiensis,-1.517475724,-0.586326125,0.558014319,-2.346158557,0,M1,24.37809738,7.376418821,49.90668096,Se
Parupeneus barberinus,-0.417475724,-0.047329624,-0.178617998,-0.574527557,0,M1,29.12230274,14.66175912,41.7128115,Se
Parupeneus macronemus,-0.317475724,-0.452794732,1.718502013,-2.361872843,0,M1,21.50310967,5.178372697,42.82914035,Se
Scarus ghobban,-1.817475724,0.358135484,0.173602622,-1.846158557,0,M1,23.9530144,8.708761876,49.86042748,Se
Scarus rubroviolaceus,-1.817475724,0.106821056,-0.458919937,0.053841443,0,M1,28.41158445,11.01011818,62.86870478,Se
Siganus argenteus,-1.18747561,-0.452794732,0.619889724,-2.346158557,0,M1,24.29752989,9.16772068,46.89503341,Se
Lethrinus nebulosus,-0.017475724,0.324233933,-0.347694312,-0.407883557,0,M1,29.72599538,13.41638466,42.87801749,Se
Acanthurus lineatus,-0.972021179,-0.504088026,0.956361944,-2.777171557,0,M1,23.32459718,6.047813599,44.19212536,Se
Acanthurus tennentii,-1.817475724,-0.707686982,0.999190963,-1.17949189,0,M1,23.74965961,5.763990269,52.95578229,Se
Siganus sutor,-1.817475724,-0.335011696,1.043194751,-2.346158557,0,M1,21.86885304,6.281293298,49.6784594,Se
Cheilinus fasciatus,-0.447475724,-0.452794732,0.715199904,-0.666613102,0,M1,26.5550684,12.57481889,39.46305242,Se
Lethrinus mahsena,-0.417475724,0.032713084,-0.989548178,2.630896443,0,M1,37.11996109,12.53534788,76.81918364,Se
Epinephelus merra,0.562524276,-0.707686982,0.396746173,0.02050811,0,M1,29.80581211,10.90766542,47.06088326,Se
Naso elegans,-1.817475724,-0.335011696,0.316349236,1.653841443,0,M1,27.84374119,6.07897295,79.47119666,Se
Scarus falcipinnis,-1.817475724,-0.047329624,1.010960056,-0.846158557,0,M1,22.52564937,5.273805922,54.0045125,Se
Scarus globiceps,-1.817475724,-0.84583732,1.010960056,-0.846158557,0,M1,24.35774795,5.107292125,55.40203444,Se
Lethrinus lentjan,0.082524276,-0.190430468,0.941973221,-2.806512557,0,M1,23.68394512,4.904711299,44.35611553,Se
Acanthurus triostegus,-1.017475724,-0.84583732,1.313036905,-3.071646657,0,M1,22.13799198,6.419652716,49.56724045,Se
Cephalopholis miniata,0.482524276,-0.229651181,-0.894238008,2.253841443,0,M1,37.38042925,13.47881904,67.78843649,Se
Cephalopholis urodeta,0.202524276,-0.809469676,1.642340652,-0.646158557,0,M1,24.81484132,6.28033351,49.1213182,Se
Epinephelus coeruleopunctatus,0.352524276,0.189059154,-0.238845386,0.02050811,0,M1,30.6111244,14.32395503,44.14147656,Se
Scarus viridifucatus,-1.817475724,-0.335011696,1.010960056,-0.846158557,0,M1,23.11056315,5.320636113,53.53980877,Se
Epinephelus hexagonatus,0.232524276,-0.827488181,1.218726225,0.02050811,0,M1,27.14877019,6.671006181,47.09894193,Se
Lethrinus olivaceus,0.182524276,0.463496,-0.073257456,-1.298376557,0,M1,27.87723107,9.477083447,44.07906331,Se
Lutjanus kasmira,0.082524276,-0.452794732,-0.238132113,-0.538888557,0,M1,30.55832128,13.27860947,50.1647618,Se
Lethrinus enigmaticus,0.0125242,-0.134341001,-0.590772068,0.472591443,0,M1,33.15886736,16.16558166,49.30711908,Se
Lethrinus rubrioperculatus,-0.017475724,-0.229651181,-0.201090832,-0.600584557,0,M1,30.07437686,13.32316533,45.17699836,Se
Diagramma pictum,-0.117475724,0.463496,-0.097550136,-1.117029557,0,M1,27.60230759,11.14003705,41.5694259,Se
Acanthurus leucosternon,-1.817475724,-0.15269014,1.575401169,-1.17949189,1,M1,22.45088536,5.429856745,63.399402,Se
Acanthurus nigrofuscus,-1.817475724,-1.097151748,0.876854824,-1.846158557,1,M1,26.1618592,5.199633573,59.10612157,Se
Aprion virescens,0.482524276,0.576824685,-0.653075944,0.440737443,1,M1,33.59684933,11.14005959,63.47220744,Se
Cephalopholis argus,0.342524276,-0.047329624,0.485742758,-0.646158557,1,M1,29.61687891,9.758672122,44.38787928,Se
Cephalopholis leopardus,0.192524276,-0.963620356,0.485742758,-0.646158557,1,M1,31.29727344,10.00282953,52.89131363,Se
Lethrinus harak,-0.217475724,-0.229651181,0.536508133,-2.326385557,1,M1,27.31738833,6.215842503,47.1298496,Se
Lutjanus bohar,0.482524276,0.358135484,-1.083858889,3.396487443,1,M1,41.98242609,3.987555065,92.72446853,Se
Lutjanus gibbus,0.282524276,-0.229651181,0.396746188,-2.117085557,1,M1,28.48859971,5.700514696,51.04652429,Se
Scarus caudofasciatus,-1.765332867,-0.229651181,1.010960056,-0.846158557,1,M1,25.07050536,5.458385201,55.36089545,Se
Scarus frenatus,-1.817475724,-0.291526584,1.218726225,-0.846158557,1,M1,23.95071375,4.866626669,59.15074946,Se
Scarus niger,-1.817475724,-0.452794732,1.006511745,-0.846158557,1,M1,25.49904565,5.142244994,55.59882117,Se
Scarus prasiognathos,-1.765332867,0.106821056,1.010960056,-0.846158557,1,M1,24.16691663,5.75088365,56.90334962,Se
Scarus scaber,-1.817475724,-0.530756273,1.126707327,-0.846158557,1,M1,24.99471554,4.952187866,57.50401862,Se
Scarus tricolor,-1.817475724,-0.86076297,1.010960056,-0.846158557,1,M1,26.27198492,6.107002229,58.39317148,Se
Siganus stellatus,-1.117475724,-0.452794732,1.501796029,-2.346158557,1,M1,23.14188127,5.978093449,48.09787636,Se
Thalassoma hebraicum,-0.317475724,-1.00617997,1.179505512,-2.846158557,1,M1,25.19169429,3.447794288,50.87445951,Se
Leptoscarus vaigiensis,-1.517475724,-0.586326125,0.558014319,-2.346158557,1,M1,26.18748543,6.808210895,51.87911439,Se
Parupeneus barberinus,-0.417475724,-0.047329624,-0.178617998,-0.574527557,1,M1,31.57887836,16.63398167,48.54684757,Se
Parupeneus macronemus,-0.317475724,-0.452794732,1.718502013,-2.361872843,1,M1,23.34028307,5.60520594,47.55251048,Se
Scarus ghobban,-1.817475724,0.358135484,0.173602622,-1.846158557,1,M1,25.73284205,9.073100624,54.46336654,Se
Scarus rubroviolaceus,-1.817475724,0.106821056,-0.458919937,0.053841443,1,M1,30.70226977,6.808291646,64.34290259,Se
Siganus argenteus,-1.18747561,-0.452794732,0.619889724,-2.346158557,1,M1,25.89990133,7.882530514,48.40548169,Se
Lethrinus nebulosus,-0.017475724,0.324233933,-0.347694312,-0.407883557,1,M1,32.35525943,14.80136032,49.83107503,Se
Acanthurus lineatus,-0.972021179,-0.504088026,0.956361944,-2.777171557,1,M1,24.80590329,6.202299162,48.24332302,Se
Acanthurus tennentii,-1.817475724,-0.707686982,0.999190963,-1.17949189,1,M1,25.68750923,7.553636391,57.77656266,Se
